"","category","name","price","ratings","no_of_reviews"
"101","Pencil","STAEDTLER 121-2 BK5D Noris School Graphite Pencils - HB Degree (Pack of 5), Black","£1.80","4.7 out of 5 stars","12,526"
"102","Pencil","12 HB Pencils for Children | Pencils for School | Kids Writing Pencils | Hexagonal | Wood Cased | Everyday Office use (Black Lead, 12)","£0.36","4.6 out of 5 stars","2,868"
"103","Pencil","Nicpro 2mm Mechanical Pencil Set, 3 PCS Artist Propelling Drafting Clutch Pencil 2.0 mm for Art Drawing Writing Sketching with 6 Tube HB & 2B Refill, Eraser, Sharpener, Propelling Lead Holder","£2.75","4.5 out of 5 stars","2,902"
"104","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [Box of 18]","£7.49","4.6 out of 5 stars","706"
"105","Pencil","STAEDTLER NORIS SCHOOL PENCILS HB [PACK OF 50) LOOSE","£8.32","4.6 out of 5 stars","1,876"
"106","Pencil","STAEDTLER 120-2 BK5D Noris HB Pencils, 5 Count (Pack of 1), Yellow, Black","£5.71","4.7 out of 5 stars","12,690"
"107","Pencil","Amazon Basics Presharpened Wood Cased #2 HB Pencils, 30 Pack, Orange","£0.32","4.7 out of 5 stars","81,425"
"108","Pencil","BIC Matic Fun, HB Mechanical Pencils and Eraser, Assorted Barrel Colours with Fine ,Yellow,Blue,Green,White,Pink,Point (0.7mm), Pack of 5,Yellow,Blue,Green,White,Pink","£5.89","4.7 out of 5 stars","4,151"
"109","Pencil","Nicpro 6PCS Mechanical Pencils Set, 3 PCS 2mm Lead Holder (2B HB 2H), Clutch Propelling Drafting Pencil 0.5 mm & 0.7 mm & 0.9 mm for Writing,Sketching Drawing with 12 Tube Lead Refills Case","£9.16","4.7 out of 5 stars","9,328"
"110","Pencil","STAEDTLER Noris School Pencils 121 - HB Grade [Pack of 36]","£0.18","4.6 out of 5 stars","6,958"
"111","Pencil","OFFCUP Everlasting Pencil, 5pcs Infinity Pencil with Eraser and Replacement Nibs, Reusable Inkless Pencil for Writing, Drawing, Students Home Office School Supplies (Light Color)","£9.99","4.3 out of 5 stars","292"
"112","Pencil","Bic Matic Original Mechanical Pencils, Perfect for School and Office Use, 0.7 mm Black (HB), Includes 3 HB Lead Refills and Eraser, 12 Count (Pack of 1)","£3.14","4.7 out of 5 stars","5,586"
"113","Pencil","BIC Ecolutions Evolution 655 HB Pencil with Eraser (Pack of 12), Green","£0.63","4.5 out of 5 stars","3,285"
"114","Pencil","STAEDTLER 132 46BK5D Norica Eraser-Tipped Pencils (Pack of 5)","£4.00","4.7 out of 5 stars","1,627"
"115","Pencil","Faber-Castell Apollo 0.7mm Mechanical Pencil - Dark Blue","£8.54","4.6 out of 5 stars","5,074"
"116","Pencil","BIC Evolution Original Pencils - Pack of 10 - All-Purpose, Extra- Resistant Erasable Pencils for Easy Drawing and Writing, black","£0.28","4.5 out of 5 stars","4,129"
"117","Pencil","BIC Evolution Pastel Graphite Pencils with Eraser and Shock-Resistant HB Lead - 4 Different Barrel Colours, Pack of 12","£8.78","4.5 out of 5 stars","20"
"118","Pencil","Nicpro Metal Mechanical Pencils Set with Case, Automatic Retractable Drafting Pencil 0.5 mm and 0.7 mm With HB Leads Refill, Erasers Propelling Pencils For School Engineer Writing, Drawing, Sketching","£2.70","4.6 out of 5 stars","3,780"
"119","Pencil","Q-Connect Half Pencil (Pack of 144) ,Grey","£0.54","4.6 out of 5 stars","1,601"
"120","Pencil","STAEDTLER 61 120 C6 Noris Graphite Pencils - Sketch Set (Pack of 6 Pencils in Assorted Grades, Eraser & FREE Sharpener)","£3.95","4.7 out of 5 stars","19"
"121","Pencil","Paper Mate Non-Stop Mechanical Pencil | 0.7mm | HB #2 | Yellow Barrel | 12 Count","£8.99","4.6 out of 5 stars","5,608"
"122","Pencil","Four Candies 0.5mm Mechanical Pencil Set with Case - 4PCS Metal Mechanical Pencils, 8 Tubes HB #2 Lead Refills, 3PCS Erasers and 9PCS Eraser Refills, Lead Pencils Mechanical for Writing & Drawing","£14.16","4.6 out of 5 stars","1,342"
"123","Pencil","Ailvor HB Pencils, 30pcs Pencils with Rubbers, Presharpened Pencil with 4pcs Pen holders for School Children Handwriting and Drawing","£6.66","4.6 out of 5 stars","580"
"124","Pencil","Sketching Pencils Set of 8 - B, 2B, 4B, 6B, 8B, HB, 2H, 4H - Drawing Pencils with Graphite Lead & Premium Wood are Ideal for Sketching, Shading & Doodling - For Beginners & Professionals","£0.19","4.7 out of 5 stars","1,850"
"125","Pencil","BIC Evolution Graphite Pencils - Pack of 8 - HB Pencils with Eraser - Colourful Stripe Design and Shock-Resistant Lead","£7.08","4.6 out of 5 stars","1,925"
"126","Pencil","BIC Matic HB Mechanical Pencils and Eraser, Assorted Barrel Colours with Fine Point (0.9 mm), Pack of 12, Yellow,Orange,White,Pink","£5.82","4.6 out of 5 stars","1,949"
"127","Pencil","OFFCUP Metal Mechanical Pencils Set, Propelling Drafting Pencil, 0.7mm Automatic Pencil Artist Drafting Clutch Pencil With 2 Tube Lead Refills for School Engineer Writing, Drawing, Sketching","£7.30","3.1 out of 5 stars","26"
