"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"35","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","great value pack","cobweb"," staedtler noris hb pencils   mm pack of  staedtler eraser  sharpener includedmade in germanycurrently at a bargain price via the amazon addon programme this represents great value to me especially for stocking up the stationery cupboard ahead of the busy springsummer seasoni also keep a pack in my bagjust in case a n other forgets theirsmeasuring around  cm x  cm x  cm the blister pack was bubblewrapped and secure in a strong cardboard outer for safe transitit contains  x full length readytouse hb pencils  x quality  goodsized mars plastic eraser         measuring around  cm x  cm x  cm which is wrapped in the pack along with  x standard onehole reasonable quality plastic sharpener blue in my packallowing for the bright red dipped end  nicely sharpened point each yellow  black stripy hexagonalbarrelled pencil measures around  cm out of the packon one side of the barrel in goldcoloured lettering made in germany  staedtler  noris  hb on another is the individual barcode detailfrom the pack efficient for ecology  wood from certified sustainably managed forestsooooo manufacturer detail high quality pencil for writing drawing and sketching ideal for school and office use unbelievably breakresistant through special lead formulation and superbonded lead  degrees available  bbhbhh wood from certified sustainably managed forests  images refer",2018-03-06,5,"verified purchase"
"36","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","ottimo prodotto","cobweb","buon prodotto buon rapporto qualit prezzo imballo perfetto",2020-10-27,5,"verified purchase"
"37","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","los lpices de toda la vida","borrelli ferdinando"," product overview hoy quiero compartir mi experiencia con el lpiz staedler noris este paquete de  lpices de dureza variada es la herramienta perfecta para aquellos que amamos dibujar tomar notas o simplemente disfrutar de la escritura a mano nuestra experiencia desde que adquir este set de lpices los he utilizado en diversas ocasiones y los resultados han sido sobresalientes he probado su uso en diferentes tipos de papel y el rendimiento es excepcional la suavidad con la que desliza el trazo es impresionante y permite un control absoluto sobre el grosor de las lneas adems el borrado es limpio y sin dejar rastros lo que me ha permitido realizar correcciones sin problemas destacados una de las caractersticas destacadas de este lpiz es su durabilidad a pesar de utilizarlos intensivamente no se gastan fcilmente y conservan su forma afilada por mucho tiempo lo cual es excelente para un dibujante como yo tambin me ha sorprendido la ergonoma de estos lpices ya que su diseo proporciona un agarre cmodo y facilita la escritura o el dibujo durante perodos prolongados de tiempo mejoras en cuanto a mejoras no he encontrado ninguna deficiencia significativa en estos lpices han cumplido con todas mis expectativas y no he tenido problemas con el producto hasta el momento relacin preciocalidad al evaluar la relacin preciocalidad de los lpices staedler noris considero que ofrecen una excelente relacin si bien su precio es ligeramente superior a otros lpices en el mercado la calidad y durabilidad que brindan compensan completamente ese aspecto adems al ser un paquete de  lpices su precio se vuelve an ms atractivo ya que obtienes una variedad de durezas en un solo paquete calificacin general en resumen mi experiencia con los lpices staedler noris ha sido sumamente positiva su calidad durabilidad y desempeo han superado mis expectativas no dudo en recomendarlos a cualquier persona que busque una herramienta de escritura o dibujo confiable y de alta calidad por todo lo anterior califico este producto con  estrellas y definitivamente contina siendo mi eleccin favorita para todas mis necesidades artsticas y de escritura una excelente adquisicin para cualquier amante del arte y la escritura a mano ",2023-10-13,5,"verified purchase"
"38","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","wie erwartet gut","lago","schnelle lieferung alles wie erwartet",2019-05-26,5,"verified purchase"
"39","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","perfect","anne","child uses for drawing easy to store fair price good quality",2024-01-03,5,"verified purchase"
"40","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","staedtler bleistift noris ","lisa","staedtler qualitt  preisleistung stimmt",2023-12-21,5,"verified purchase"
"41","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","lpices de los de siempre","mohamed faridi mohamed","compre estos lpices para mi hijo para el cole lpices como los que use yo en mi infancia siguen siendo los mismos con la misma calidad y resistentes y a un buen precio",2023-12-13,4,"verified purchase"
"42","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","ottimi lapis","davide","ottimi lapis hb con gommala mina  della giusta durezza non si sbriciola e non si scheggia si appuntano benissimo la qualit  garantitaformato conveniente  lapis ad un prezzo ottimo",2023-09-13,5,"verified purchase"
"43","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","matite","daniele","comprate perch richieste a scuola media dalla prof di arte prezzo molto conveniente e spedizione veloce",2022-12-04,5,"verified purchase"
"44","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","ottima scorta","leonardo","ho deciso di acquistare questa confezione di matite perch i miei bambini ne consumano tante alle elementari e volevo avere una scorta in casa devo dire che sono molto soddisfatto della qualit delle matite sono ben fatte hanno una mina morbida ma resistente e scrivono in modo fluido senza spezzarsi facilmente inoltre il prezzo  davvero conveniente per la quantit che si ricevesono perfette per luso scolastico e non solo",2023-01-08,5,"verified purchase"
"45","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","perfect","rogstrog","just perfect",2023-11-28,5,"verified purchase"
"46","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","son los lpices que nos recomienda la maestra de mi hija","yo","la verdad es que no se les rompe la punta  no emborronan la hoja ni ensucia los deberes y aprenden a escribir muy bien con ellos",2023-07-17,5,"verified purchase"
"47","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","bleistifte","jwang","das set bleistifte spitzer radiergummi ist optimal",2022-01-12,5,"verified purchase"
"48","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","le matite","lauretanov","queste sono le matite qualit classica e prodotto ineccepibile",2023-03-17,4,"verified purchase"
"49","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","ottimo articolo","ri","tutto come doveva essere prodotto corrispondente alla descrizione e arrivato nei tempi previsti articolo di ottima qualit che fa quel che deve la marca  una garanzia",2018-08-18,5,"verified purchase"
"50","staedtler 121-2 bk5d noris school graphite pencils - hb degree (pack of 5), black","buena calidad","juan","producto  excelente",2023-12-09,5,"verified purchase"
"51","staedtler noris school pencils hb [pack of 50) loose","originales a buen precio","pablo","es un producto que compr habitualmente y puedo asegurar que viene en la misma caja de   que vienen los originalesdespus de darle mucho uso las minas no se han roto a sacar punta ni una sola vez un gran producto a muy buen precio y con la comodidad de pedirlo en amazon",2019-02-06,4,"verified purchase"
